Specimen|Name|Speed|odds|dna|Life|incubMin|atk1|atk1p|atk2|atk2p|bank|unlockattack|Type|reciper|abilities|abilityPct1|abilityPct2|orbSlots
Specimen_A_03| Garuda|120|0| A|3196|60| 432| 876| 248:AOE| 548:AOE|42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| SEASONAL| | 1:ability_shield;2:ability_shield_plus|20|45| n;n;s
Specimen_B_03| Jack O'Lantern|140|0| B|2851|60| 519| 781| 300:AOE| 450:AOE|42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| SEASONAL| | 1:ability_regen;2:ability_regen_plus|30|50| n;n;s
Specimen_C_03| Cryonos|250|0| C|3265|60| 1064| 1597| 612:AOE| 918:AOE|42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_D_03| Easter Gunny|240|0| D|4218|60| 1414| 2123| 708:AOE| 1061:AOE|42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| SEASONAL| | 1:ability_slash;2:ability_slash_plus|-20|-30| n;n;s
Specimen_E_03| Ceres|79|20| E|1455|60| 155| 255| 90:AOE| 134:AOE|42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| LEGEND| E_03x[A-F][A-F]_*+E_03x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|25| n;n;s
Specimen_F_03| Snowmage|160|0| F|2591|60| 615| 922| 354:AOE| 529:AOE|42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_AA_04| Tri-Klops|120|20| AA|1543|60| 283| 425| 164:AOE| 245:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| LEGEND| AA_04x[A-F][A-F]_*+AA_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s
Specimen_AB_04| Commander Ender|260|20| AB|1846|60| 569| 854| 569| 854|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| LEGEND| AB_04x[A-F][A-F]_*+AB_04x[A-F]_*| 1:ability_regen;2:ability_regen_plus|25|38| n;n;s
Specimen_AC_04| The Plumber|170|0| AC|2419|60| 595| 893| 595| 893|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| VIDEOGAME| | 1:ability_shield;2:ability_shield_plus|20|40| n;n;s
Specimen_AD_04| Deathcon 1|140|20| AD|1553|60| 336| 504| 336| 504|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| AD_04x[A-F][A-F]_*+AD_04x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_AE_04| Supraman X|150|0| AE|2423|60| 551| 827| 551| 827|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| VIDEOGAME| | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_AF_04| Autonorush|90|20| AF|1655|60| 162| 265| 162| 265|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| LEGEND| AF_04x[A-F][A-F]_*+AF_04x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|40| n;n;s
Specimen_BA_04| The Experiment|180|20| BA|1595|60| 365| 549| 365| 549|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| BA_04x[A-F][A-F]_*+BA_04x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BB_04| The Boogey Girl|100|20| BB|1538|60| 255| 384| 146:AOE| 220:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| LEGEND| BB_04x[A-F][A-F]_*+BB_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_BC_04| George Washington|300|0| BC|3926|60| 1284| 1927| 1284| 1927|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| SEASONAL| | 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_BD_04| Lady Harpy|100|20| BD|1154|60| 226| 340| 226| 340|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| BD_04x[A-F][A-F]_*+BD_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_BE_04| Commodore Le Shark|290|120| BE|2195|360| 882| 1323| 882| 1323|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| RECIPE| EB_03xBC_02+CB_01xCE_01| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s:20h
Specimen_BF_04| Galactic Emperor|160|0| BF|2094|60| 361| 543| 361| 543|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| GACHA| | 1:ability_regen;2:ability_regen_plus|55|80| n;n;s
Specimen_CA_04| Project X27|80|20| CA|960|60| 157| 326| 157| 326|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| LEGEND| CA_04x[A-F][A-F]_*+CA_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CB_04| Leonidas|240|20| CB|1777|60| 516| 774| 516| 774|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| LEGEND| CB_04x[A-F][A-F]_*+CB_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CC_04| Lara|110|0| CC|2851|60| 435| 654| 251:AOE| 375:AOE|42| 1:1:c;2:5:c;1p:10:c;2p:15:c| VIDEOGAME| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CD_04| Battle Toad|90|20| CD|1713|60| 177| 268| 177| 268|42| 1:1:c;2:5:d;2p:15:d;1p:10:c| LEGEND| CD_04x[A-F][A-F]_*+CD_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-20|-25| n;n;s
Specimen_CE_04| Apex|180|20| CE|1610|60| 201| 315| 201| 315|42| 1:1:c;2:5:e;2p:15:e;1p:10:c| LEGEND| CE_04x[A-F][A-F]_*+CE_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|90|130| n;n;s
Specimen_CF_04| Azog|250|20| CF|1846|60| 600| 900| 600| 900|42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| CF_04x[A-F][A-F]_*+CF_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_DA_04| Rhino Squadron|250|20| DA|1953|60| 585| 878| 585| 878|42| 1:1:d;2:5:a;2p:15:a;1p:10:d| LEGEND| DA_04x[A-F][A-F]_*+DA_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DB_04| Louis XVI|220|0| DB|3210|60| 979| 1572| 979| 1572|42| 1:1:d;2:5:b;2p:15:b;1p:10:d| SEASONAL| | 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DC_04| CÃ©zanne|290|20| DC|1917|60| 700| 1050| 700| 1050|42| 1:1:d;2:5:c;2p:15:c;1p:10:d| LEGEND| DC_04x[A-F][A-F]_*+DC_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DD_04| Cernunnos|210|20| DD|1924|60| 549| 824| 315:AOE| 475:AOE|42| 1:1:d;2:5:d;1p:10:d;2p:15:d| LEGEND| DD_04x[A-F][A-F]_*+DD_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-50| n;n;s
Specimen_DE_04| Genshiryoku|280|20| DE|1913|60| 622| 934| 622| 934|42| 1:1:d;2:5:e;2p:15:e;1p:10:d| LEGEND| DE_04x[A-F][A-F]_*+DE_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DF_04| Kontiki|270|20| DF|1887|60| 595| 892| 595| 892|42| 1:1:d;2:5:f;2p:15:f;1p:10:d| LEGEND| DF_04x[A-F][A-F]_*+DF_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_EA_04| Brick McGole|150|20| EA|1397|60| 318| 478| 318| 478|42| 1:1:e;2:5:a;2p:15:a;1p:10:e| LEGEND| EA_04x[A-F][A-F]_*+EA_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EB_04| Ghost Killer|150|20| EB|1648|60| 375| 563| 375| 563|42| 1:1:e;2:5:b;2p:15:b;1p:10:e| LEGEND| EB_04x[A-F][A-F]_*+EB_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EC_04| Santactopus|170|0| EC|2595|60| 639| 959| 639| 959|42| 1:1:e;2:5:c;2p:15:c;1p:10:e| SEASONAL| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_ED_04| Rakk 'n' Ruin|80|0| ED|1669|60| 335| 515| 335| 515|42| 1:1:e;2:5:d;2p:15:d;1p:10:e| CAPTAINPEACE| | 1:ability_strengthen;2:ability_strengthen_plus|25|40| n;n;s
Specimen_EE_04| Flying Jordson|220|20| EE|1963|60| 581| 874| 335:AOE| 501:AOE|42| 1:1:e;2:5:e;1p:10:e;2p:15:e| LEGEND| EE_04x[A-F][A-F]_*+EE_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|35| n;n;s
Specimen_EF_04| Mephisto|135|20| EF|1329|60| 268| 666| 268| 666|42| 1:1:e;2:5:f;2p:15:f;1p:10:e| LEGEND| EF_04x[A-F][A-F]_*+EF_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_FA_04| Banker|200|0| FA|2635|60| 728| 1092| 728| 1092|210| 1:1:f;2:5:a;2p:15:a;1p:10:f| CAPTAINPEACE| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FB_04| Wicked Witch|240|20| FB|1763|60| 556| 834| 556| 834|42| 1:1:f;2:5:b;2p:15:b;1p:10:f| LEGEND| FB_04x[A-F][A-F]_*+FB_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FC_04| Mexihcatl|210|0| FC|2445|60| 698| 1048| 698| 1048|42| 1:1:f;2:5:c;2p:15:c;1p:10:f| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FD_04| Buranka|200|20| FD|1484|60| 383:AOE| 575:AOE| 383:AOE| 575:AOE|42| 1:1:f;2:5:d;2p:15:d;1p:10:f| LEGEND| FD_04x[A-F][A-F]_*+FD_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FE_04| Space Princess|140|20| FE|1254|60| 271| 407| 271| 407|42| 1:1:f;2:5:e;2p:15:e;1p:10:f| LEGEND| FE_04x[A-F][A-F]_*+FE_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FF_04| Monolith|220|20| FF|2126|60| 600| 805| 346:AOE| 518:AOE|42| 1:1:f;2:5:f;1p:10:f;2p:15:f| LEGEND| FF_04x[A-F][A-F]_*+FF_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_A_04| No Name|300|0| A|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| SEASONAL| | 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_B_04| Crow|200|0| B|3531|60| 865| 1299| 496:AOE| 746:AOE|42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| SEASONAL| | 1:ability_regen;2:ability_regen_plus|35|50| n;n;s
Specimen_C_04| No Name|300|0| C|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_D_04| No Name|300|0| D|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| SEASONAL| | 1:ability_slash;2:ability_slash_plus|-20|-30| n;n;s
Specimen_E_04| No Name|300|0| E|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| SEASONAL| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_F_04| Leprechaun|190|0| F|3512|60| 584:AOE| 877:AOE| 643:AOE| 965:AOE|42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_AA_05| Thunderstruck|170|80| AA|1875|60| 741| 1116| 428:AOE| 641:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| PVP| AA_05x[A-F][A-F]_*+AA_05x[A-F]_*| 1:ability_shield;2:ability_shield_plus|30|50| n;n;s:20h
Specimen_AB_05| Neo-Urban XIII\n|300|0| AB|2552|60| 558| 1384| 558| 1384|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| GACHA| | 1:ability_strengthen;2:ability_strengthen_plus|12|33| n;n;s
Specimen_AC_05| Cyber Punk|130|20| AC|1362|60| 250| 375| 250| 375|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| LEGEND| AC_05x[A-F][A-F]_*+AC_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-60| n;n;s
Specimen_AD_05| Cyber Croc|230|20| AD|1932|60| 546| 821| 546| 821|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| AD_05x[A-F][A-F]_*+AD_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-50| n;n;s
Specimen_AE_05| CyberSlug|200|120| AE|1877|360| 423| 682| 423| 682|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| RECIPE| AB_02xBE_04+AE_01xFE_01| 1:ability_slash;2:ability_slash_plus|-30|-50| n;n;s:20h
Specimen_AF_05| Abraham Lincoln|300|0| AF|3424|60| 1284| 1927| 1284| 1927|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_BA_05| Doctor Blaw|250|20| BA|1834|60| 542| 813| 542| 813|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| BA_05x[A-F][A-F]_*+BA_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_BB_05| Soul Eater|290|20| BB|2375|60| 813| 1219| 468:AOE| 701:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| PVP| BB_05x[A-F][A-F]_*+BB_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_BC_05| Psycho Chainsawer|220|20| BC|1727|60| 465| 699| 465| 699|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| LEGEND| BC_05x[A-F][A-F]_*+BC_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BD_05| Bulldozer|240|20| BD|1800|120| 516| 774| 516| 774|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| BD_05x[A-F][A-F]_*+BD_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BE_05| Nyrlatoth|190|20| BE|1810|60| 420| 631| 420| 631|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| LEGEND| BE_05x[A-F][A-F]_*+BE_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BF_05| Britany|300|20| BF|1952|60| 585:AOE| 877:AOE| 585:AOE| 877:AOE|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| LEGEND| BF_05x[A-F][A-F]_*+BF_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_CA_05| Challengeer|150|20| CA|1297|60| 295| 444| 295| 444|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| LEGEND| CA_05x[A-F][A-F]_*+CA_05x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CB_05| Cupid|200|0| CB|3472|60| 926| 1432| 926| 1432|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus|-15|-30| n;n;s
Specimen_CC_05| Shin Hakuho|270|20| CC|2309|60| 744| 1115| 428:AOE| 643:AOE|42| 1:1:c;2:5:c;1p:10:c;2p:15:c| PVP| CC_05x[A-F][A-F]_*+CC_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|25|38| n;n;s:20h
Specimen_CD_05| Hog the Ripper|310|0| CD|4580|120| 1633| 2549| 1633| 2549|42| 1:1:c;2:5:d;2p:15:d;1p:10:c| CAPTAINPEACE| | 1:ability_retaliate;2:ability_retaliate_plus|-13|-20| n;n;s
Specimen_CE_05| Sun-Duke|158|0| CE|1405|60| 531| 996| 531| 996|42| 1:1:c;2:5:e;2p:15:e;1p:10:c| GACHA| | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_CF_05| Akuso Monk|140|20| CF|1511|60| 292| 438| 292| 438|42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| CF_05x[A-F][A-F]_*+CF_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DA_05| Fennec Plus Ultra|170|20| DA|1777|60| 368| 553| 368| 553|42| 1:1:d;2:5:a;2p:15:a;1p:10:d| LEGEND| DA_05x[A-F][A-F]_*+DA_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-45| n;n;s
Specimen_DB_05| Brawler|290|0| DB|3152|60| 1150| 1727| 1150| 1727|42| 1:1:d;2:5:b;2p:15:b;1p:10:d| VIDEOGAME| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_DC_05| Monkey King|160|20| DC|1605|60| 342| 515| 342| 515|42| 1:1:d;2:5:c;2p:15:c;1p:10:d| LEGEND| DC_05x[A-F][A-F]_*+DC_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DD_05| Dilophoraptor|115|80| DD|1003|60| 283| 644| 164:AOE| 322:AOE|42| 1:1:d;2:5:d;1p:10:d;2p:15:d| PVP| DD_05x[A-F][A-F]_*+DD_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s:20h
Specimen_DE_05| Exo Cookie|300|20| DE|1915|60| 696| 1046| 696| 1046|42| 1:1:d;2:5:e;2p:15:e;1p:10:d| LEGEND| DE_05x[A-F][A-F]_*+DE_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_DF_05| Dragons' Mother|125|20| DF|1050|60| 584| 876| 584| 876|42| 1:1:d;2:5:f;2p:15:f;1p:10:d| LEGEND| DF_05x[A-F][A-F]_*+DF_05x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-10|-15| n;n;s
Specimen_EA_05| King Steven|180|20| EA|1695|60| 435| 684| 435| 684|42| 1:1:e;2:5:a;2p:15:a;1p:10:e| LEGEND| EA_05x[A-F][A-F]_*+EA_05x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-40| n;n;s
Specimen_EB_05| Undead Soldier|270|20| EB|1860|60| 641| 961| 641| 961|42| 1:1:e;2:5:b;2p:15:b;1p:10:e| LEGEND| EB_05x[A-F][A-F]_*+EB_05x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EC_05| Space Hunter|230|20| EC|1602|60| 491| 737| 491| 737|42| 1:1:e;2:5:c;2p:15:c;1p:10:e| LEGEND| EC_05x[A-F][A-F]_*+EC_05x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|32| n;n;s
Specimen_ED_05| Crawlorax|280|20| ED|1753|60| 622| 934| 622| 934|42| 1:1:e;2:5:d;2p:15:d;1p:10:e| LEGEND| ED_05x[A-F][A-F]_*+ED_05x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EE_05| Selendis|120|20| EE|1444|60| 281| 551| 161:AOE| 275:AOE|42| 1:1:e;2:5:e;1p:10:e;2p:15:e| PVP| EE_05x[A-F][A-F]_*+EE_05x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_EF_05| Kraken|260|20| EF|1905|60| 587| 881| 587| 881|42| 1:1:e;2:5:f;2p:15:f;1p:10:e| LEGEND| EF_05x[A-F][A-F]_*+EF_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|25|38| n;n;s
Specimen_FA_05| Shadow Shaman|190|20| FA|1464|60| 390| 586| 390| 586|42| 1:1:f;2:5:a;2p:15:a;1p:10:f| LEGEND| FA_05x[A-F][A-F]_*+FA_05x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FB_05| Bones â€˜nâ€™ Roses|190|20| FB|1844|60| 446| 695| 446| 695|42| 1:1:f;2:5:b;2p:15:b;1p:10:f| LEGEND| FB_05x[A-F][A-F]_*+FB_05x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-20| n;n;s
Specimen_FC_05| Yelda|170|0| FC|2605|60| 641| 962| 641| 962|42| 1:1:f;2:5:c;2p:15:c;1p:10:f| VIDEOGAME| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FD_05| Shinigami Painter|150|20| FD|1297|60| 295| 444| 295| 444|42| 1:1:f;2:5:d;2p:15:d;1p:10:f| LEGEND| FD_05x[A-F][A-F]_*+FD_05x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FE_05| Nebulus|180|0| FE|3354|60| 616| 1255| 616| 1255|42| 1:1:f;2:5:e;2p:15:e;1p:10:f| ZODIAC| | 1:ability_weaken;2:ability_weaken_plus|-15|-25| n;n;s
Specimen_FF_05| Glubber|140|20| FF|1831|60| 568| 860| 399:AOE| 600:AOE|42| 1:1:neutre;2:5:neutre;1p:10:neutre;2p:15:neutre| LEGEND| FF_05x[A-F][A-F]_*+FF_05x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus|-20|-23| n;n;s
Specimen_A_05| Bounty Hunter|210|20| A|1922|60| 515| 774| 303:AOE| 454:AOE|105| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| LEGEND| A_05x[A-F][A-F]_*+A_05x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|40| n;n;s
Specimen_B_05| Drudge Zombie|150|20| B|2230|60| 507| 915| 507| 915|42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| LEGEND| B_05x[A-F][A-F]_*+B_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus|35|60| n;n;s
Specimen_C_05| Barbarian|235|20| C|2382|60| 877| 1405| 877| 1405|42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| LEGEND| C_05x[A-F][A-F]_*+C_05x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-20|-40| n;n;s
Specimen_D_05| No Name|300|0| D|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| SEASONAL| | 1:ability_slash;2:ability_slash_plus|-20|-30| n;n;s
Specimen_E_05| No Name|300|0| E|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| SEASONAL| | 1:ability_strengthen;2:ability_strengthen_plus|20|30| n;n;s
Specimen_F_05| No Name|300|0| F|1824|60| 684| 1026| 342:AOE| 513:AOE|42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus|-20|-30| n;n;s
Specimen_AA_06| Hercules|300|20| AA|2258|60| 845| 1269| 485:AOE| 729:AOE|42| 1:1:a;2:5:a;1p:10:a;2p:15:a| PVP| AA_06x[A-F][A-F]_*+AA_06x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_AB_06| Drusella|110|20| AB|1422|60| 264| 535| 264| 535|42| 1:1:a;2:5:b;2p:15:b;1p:10:a| LEGEND| AB_06x[A-F][A-F]_*+AB_06x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_AC_06| Viper|170|20| AC|1788|60| 631| 946| 631| 946|42| 1:1:a;2:5:c;2p:15:c;1p:10:a| HEROIC| AC_06x[A-F][A-F]_*+AC_06x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|52| n;n;n;s
Specimen_AD_06| Bio-Hedgehog|280|20| AD|2286|60| 796| 1188| 796| 1188|42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| AD_06x[A-F][A-F]_*+AD_06x[A-F]_*| 1:ability_shield;2:ability_shield_plus|26|41| n;n;s
Specimen_AE_06| Marv|140|20| AE|1423|60| 271| 468| 271| 468|42| 1:1:a;2:5:e;2p:15:e;1p:10:a| LEGEND| AE_06x[A-F][A-F]_*+AE_06x[A-F]_*| 1:ability_shield;2:ability_shield_plus|20|30| n;n;s
Specimen_AF_06| Eva's Replication|110|0| AF|2633|60| 439| 738| 439| 738|42| 1:1:a;2:5:f;2p:15:f;1p:10:a| CAPTAINPEACE| | 1:ability_weaken;2:ability_weaken_plus|-20|-35| n;n;s
Specimen_BA_06| Z-0|260|20| BA|1980|60| 747| 1122| 747| 1122|42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| BA_06x[A-F][A-F]_*+BA_06x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-16|-27| n;n;s
Specimen_BB_06| The Glutton|230|20| BB|2164|60| 611| 920| 351:AOE| 529:AOE|42| 1:1:b;2:5:b;1p:10:b;2p:15:b| PVP| BB_06x[A-F][A-F]_*+BB_06x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BC_06| Dandy Bones|250|20| BC|1831|60| 543| 815| 543| 815|42| 1:1:b;2:5:c;2p:15:c;1p:10:b| LEGEND| BC_06x[A-F][A-F]_*+BC_06x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|48| n;n;s
Specimen_BD_06| Mur'Ghoul|190|20| BD|1912|60| 428| 644| 428| 644|42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| BD_06x[A-F][A-F]_*+BD_06x[A-F]_*| 1:ability_regen;2:ability_regen_plus|30|55| n;n;s
Specimen_BE_06| Apophis|130|20| BE|1541|60| 264| 395| 264| 395|42| 1:1:b;2:5:e;2p:15:e;1p:10:b| LEGEND| BE_06x[A-F][A-F]_*+BE_06x[A-F]_*| 1:ability_slash;2:ability_slash_plus|-20|-40| n;n;s
Specimen_BF_06| The King of Mimphys|220|20| BF|1680|60| 510| 766| 510| 766|42| 1:1:b;2:5:f;2p:15:f;1p:10:b| LEGEND| BF_06x[A-F][A-F]_*+BF_06x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus|20|48| n;n;s
Specimen_CA_06| RA-DK-Bot|280|20| CA|2321|60| 630| 1176| 630| 1176|42| 1:1:c;2:5:a;2p:15:a;1p:10:c| LEGEND| CA_06x[A-F][A-F]_*+CA_06x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus|-15|-25| n;n;s
Specimen_CB_06| Scarlett|180|0| CB|2813|60| 720| 1432| 720| 1432|42| 1:1:c;2:5:b;2p:15:b;1p:10:c| CAPTAINPEACE| | 1:ability_retaliate;2:ability_retaliate_plus|-25|-45| n;n;s
