Specimen| Name| spX100| odds| dna| lifePoint| incubMin| atk1| atk1p| atk2| atk2p| bank| unlockAttack| type| recipes| abilities| abilityPct1| abilityPct2| orbSlots| Attack1p_name| Attack2p_name| Description
Specimen_AA_04| Tri-Klops| 120| 20| AA| 1543| 60| 283| 425| 164:AOE| 245:AOE| 42| 1:1:a;2:5:a;1p:10:a;2p:15:a| LEGEND| AA_04x[A-F][A-F]_*+AA_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n;n;s| Portal| Surprise!| Tri-Klops robots were used during the 23rd century as advanced devices in postal services. A new virus infected them and they started to send their packages randomly sometimes causing huge damages. Hopefully this kind of broken tools always find its way... Give them a weapon and send them in the arena of course !
Specimen_AB_04| Commander Ender| 260| 20| AB| 1846| 60| 569| 854| 569| 854| 42| 1:1:a;2:5:b;2p:15:b;1p:10:a| LEGEND| AB_04x[A-F][A-F]_*+AB_04x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 25| 38| n;n;s| Cyber-gun| Necro-fluid| Ender was a soldier in the Sentinel army. They experimented on him for several years but gave Ender his skill, intellect, strength and his loyalty to their Horde.
Specimen_AC_04| The Plumber| 170| 0| AC| 2419| 60| 595| 893| 595| 893| 42| 1:1:a;2:5:c;2p:15:c;1p:10:a| VIDEOGAME| | 1:ability_shield;2:ability_shield_plus| 20| 40| n;n;s| Flower power| Hammer| Who would have thought that a moustached, pudgy man dressed in red overalls, could be that badass? Riding its Mecha dinosaur pet, The Plumber has been created by Darwin based on buried memories from his childhood.
Specimen_AD_04| Deathcon 1| 140| 20| AD| 1553| 60| 336| 504| 336| 504| 42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| AD_04x[A-F][A-F]_*+AD_04x[A-F]_*| 1:ability_shield;2:ability_shield_plus| 20| 30| n;n;s| Attack!| Down!| We do not really know why but Darwin has always been fascinated by bugs. Regularly, he is getting inspired by what can be found in his vivarium. Deathcon 1 joins the bug club already formed by mutants such as Arachno or Mantidroid!
Specimen_AE_04| Supraman X| 150| 0| AE| 2423| 60| 551| 827| 551| 827| 42| 1:1:a;2:5:e;2p:15:e;1p:10:a| VIDEOGAME| | 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;n;s| Mega Plasma Cannon| Mega Uppercut| Supraman used to be an androïd called Scissors. He was designed by Darwin to be a lab assistant, however the treacherous Baron Urban modified him and he was converted into a maverick battle robot. This did not last for long, as Scissors managed to fight his evil side, claiming his free will and becoming Supraman X.
Specimen_AF_04| Autonorush| 90| 20| AF| 1655| 60| 162| 265| 162| 265| 42| 1:1:a;2:5:f;2p:15:f;1p:10:a| LEGEND| AF_04x[A-F][A-F]_*+AF_04x[A-F]_*| 1:ability_shield;2:ability_shield_plus| 20| 40| n;n;s| Photon strike| Magic missiles| If you feel the need for speed, then nothing offers you more than the new 4.T.N.R.5.H droid from Darwins lab. This speedy android nicknamed Autonorush can strike most mutants before they even get a chance to act.
Specimen_BA_04| The Experiment| 180| 20| BA| 1595| 60| 365| 549| 365| 549| 42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| BA_04x[A-F][A-F]_*+BA_04x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 55| n;n;s| Recycle| Prometheus gift| Revived from the dead thanks to a mix of animal, human and robot parts, The Experiment has never been human enough again to get a real name.\nOnly able to smash anything that crosses his path, the mysterious mad scientist who created him had only one clear objective: entering the arena and wiping out the competition, horror movie style!
Specimen_BB_04| The Boogey Girl| 100| 20| BB| 1538| 60| 255| 384| 146:AOE| 220:AOE| 42| 1:1:b;2:5:b;1p:10:b;2p:15:b| LEGEND| BB_04x[A-F][A-F]_*+BB_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Bogeyman| Sandman| Here is what happens when you tell ghost stories to kids before they go to sleep! The nice Sandman that is supposed to take them to dreamland becomes the terrifying Boogey Man that will show you terror in a handful of dust! Talking to dreamers is like talking to zombies... So why even try to wake them up?
Specimen_BC_04| George Washington| 300| 0| BC| 3926| 60| 1284| 1927| 1284| 1927| 42| 1:1:b;2:5:c;2p:15:c;1p:10:b| SEASONAL| | 1:ability_regen;2:ability_regen_plus| 30| 48| n;n;s| Liberty| Democracy| What's that coming over the hill, is it a monster, is it a monster? Actually no it isn't......It's the Commander-in-Chief of the Continental Army and one of the founding fathers of the United States of America. Riding his Freedom Cannon, George Washington has arrived to celebrate American Independence Day!
Specimen_BD_04| Lady Harpy| 100| 20| BD| 1154| 60| 226| 340| 226| 340| 42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| BD_04x[A-F][A-F]_*+BD_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;n;s| Gastric explosion| Beak & Talons| For everyone, Lady Harpy is the face of rampage and revenge. As fast as the wind, she shows no mercy with her sharp claws and the sky becomes as dark as the night when she spreads her wings!
Specimen_BE_04| Commodore Le Shark| 290| 120| BE| 2195| 360| 882| 1323| 882| 1323| 42| 1:1:b;2:5:e;2p:15:e;1p:10:b| RECIPE| EB_03xBC_02+CB_01xCE_01| 1:ability_shield;2:ability_shield_plus| 20| 30| n;n;s:20h| Spectral assault| Bow salvo| Commodore Le Shark is the bloodthirsty leader of a space fleet
Specimen_BF_04| Galactic Emperor| 160| 0| BF| 2094| 60| 361| 543| 361| 543| 42| 1:1:b;2:5:f;2p:15:f;1p:10:b| GACHA| | 1:ability_regen;2:ability_regen_plus| 55| 80| n;n;s| Force Lightning| Ataru| Take your weapon! Strike your arena opponents down with all your hatred! Fulfil your destiny! With the Galactic Emperor on your team, your journey to the dark side will be complete…
Specimen_CA_04| Project X27| 80| 20| CA| 960| 60| 157| 326| 157| 326| 42| 1:1:c;2:5:a;2p:15:a;1p:10:c| LEGEND| CA_04x[A-F][A-F]_*+CA_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Tactical cover| Close combat| Project X27 stretches the limits of Cyber-Biology. By completely interfacing the soldier with his combat exoskeleton, the subject can reach a speed never imagined before
Specimen_CB_04| Leonidas| 240| 20| CB| 1777| 60| 516| 774| 516| 774| 42| 1:1:c;2:5:b;2p:15:b;1p:10:c| LEGEND| CB_04x[A-F][A-F]_*+CB_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Blades of Chaos| Ghosts of Sparta| Commander of the Spartan Army, Leonidas led thousands of battles. Men, Demons, Gods, they've all been crushed under his swords and fury. There is a myth telling Urban invoked the Legendary demigod of War from hell to rule over the tournament, promising him to bring his wife back from the dead as well as immortality.\n
Specimen_CC_04| Lara| 110| 0| CC| 2851| 60| 435| 654| 251:AOE| 375:AOE| 42| 1:1:c;2:5:c;1p:10:c;2p:15:c| VIDEOGAME| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Archeology skill| Light the torches| When creating her, Darwin got inspired by video games just like for The Plumber. Lara the Explorer is the ultimate femme fatale, adventurous, strong, afraid of nothing or no one.... and the girl that every boy fell in love with!
Specimen_CD_04| Battle Toad| 90| 20| CD| 1713| 60| 177| 268| 177| 268| 42| 1:1:c;2:5:d;2p:15:d;1p:10:c| LEGEND| CD_04x[A-F][A-F]_*+CD_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus| -20| -25| n;n;s| Triple flail| Kamikaze tadpole| In another dimension, another time in space, Battle Toads are planet conquering warriors. Now they are here to conquer the Arena!
Specimen_CE_04| Apex| 180| 20| CE| 1610| 60| 201| 315| 201| 315| 42| 1:1:c;2:5:e;2p:15:e;1p:10:c| LEGEND| CE_04x[A-F][A-F]_*+CE_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 90| 130| n;n;s| With no hands| Death disk| Apex is the perfect warrior. Urban created him from the cells of the most powerful gladiators in the history of the Arena. Each time he evolves, he changes his appearance to get closer and closer to the utimate mutant.
Specimen_CF_04| Azog| 250| 20| CF| 1846| 60| 600| 900| 600| 900| 42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| CF_04x[A-F][A-F]_*+CF_04x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Me see, me kill.| Magic hand| Captain Azog was the most feared of officers in the mighty Gz'laq Army, leading his troops into some of the most gruesome and successful invasions in recent history. When finally captured for his crimes he narrowly avoided a death sentence by agreeing to compete in Mutants: Genetic Gladiators.
Specimen_DA_04| Rhino Squadron| 250| 20| DA| 1953| 60| 585| 878| 585| 878| 42| 1:1:d;2:5:a;2p:15:a;1p:10:d| LEGEND| DA_04x[A-F][A-F]_*+DA_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Headlong| Abs| When the Federation of the South realized it could industrially produce brutal, destructive, yet perfectly obedient soldiers, it poured its Rhino Squadron on the battlefields
Specimen_DB_04| Louis XVI| 220| 0| DB| 3210| 60| 979| 1572| 979| 1572| 42| 1:1:d;2:5:b;2p:15:b;1p:10:d| SEASONAL| | 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Varennes| Guillotine| You will need more than one Revolution to kill a King and Louis XVI is here to prove it. Facing the guillotine during the winter of 1793, he made the promise to come back for his kingdom. 600 years later, revived from the world of the dead he is back to reclaim his titles and show the French are no cowards.\n
Specimen_DC_04| Cézanne| 290| 20| DC| 1917| 60| 700| 1050| 700| 1050| 42| 1:1:d;2:5:c;2p:15:c;1p:10:d| LEGEND| DC_04x[A-F][A-F]_*+DC_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Mario's Pizza| Extra pepperoni| After devoting years to the teachings of Ninja, Cézanne has joined the arena to test his skills against other mutants. When the evil Baron Urban attacks, Cézanne won't cut him no slack.
Specimen_DD_04| Cernunnos| 210| 20| DD| 1924| 60| 549| 824| 315:AOE| 475:AOE| 42| 1:1:d;2:5:d;1p:10:d;2p:15:d| LEGEND| DD_04x[A-F][A-F]_*+DD_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -50| n;n;s| Entangle| Spirit of the Forest| Cernunnos are the manifestation of the Stag God, protector of Forests and Druids
Specimen_DE_04| Genshiryoku| 280| 20| DE| 1913| 60| 622| 934| 622| 934| 42| 1:1:d;2:5:e;2p:15:e;1p:10:d| LEGEND| DE_04x[A-F][A-F]_*+DE_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Howl| Radioactive beam| Disturbed by the ongoing sounds of fights and explosions, Genshiryoku has woken up and is in a really bad mood.\nFrom now on his only dedication will be to silence every single fighter in the arena. Don't think you'll tame him, he's only there for his personal needs and will crush you too if he ever has a chance!\n
Specimen_DF_04| Kontiki| 270| 20| DF| 1887| 60| 595| 892| 595| 892| 42| 1:1:d;2:5:f;2p:15:f;1p:10:d| LEGEND| DF_04x[A-F][A-F]_*+DF_04x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Mud ball| Magic spoor| Be careful of the wild things that you can find in the arena! Kontiki could be considered as the King of those wild things. With its mythic abilities and powerful attacks, he doesn't seem that peaceful anymore, right!
Specimen_EA_04| Brick McGole| 150| 20| EA| 1397| 60| 318| 478| 318| 478| 42| 1:1:e;2:5:a;2p:15:a;1p:10:e| LEGEND| EA_04x[A-F][A-F]_*+EA_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;n;s| Rest in Pieces| Knock Your Block Off| Brick McGole is a legend. One hundred times he was rumoured to be dead, his spaceship strewn, his legs or head separated from his torso. And yet, after some time, he always reappears, stronger with each assault!
Specimen_EB_04| Ghost Killer| 150| 20| EB| 1648| 60| 375| 563| 375| 563| 42| 1:1:e;2:5:b;2p:15:b;1p:10:e| LEGEND| EB_04x[A-F][A-F]_*+EB_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;n;s| Neutron flow| Ecto-trap| Ghost Killer was the best hunter of the East Coast, but with more and more mutants getting crushed in the arena, he had to join the fight!
Specimen_EC_04| Santactopus| 170| 0| EC| 2595| 60| 639| 959| 639| 959| 42| 1:1:e;2:5:c;2p:15:c;1p:10:e| SEASONAL| | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;n;s| Merry Christmas| Ho ho ho| It might be a surprise for a lot of you, but Santa Claus really existed! During his 2014 delivery, he disappeared during an interstellar storm and was gone for several centuries. On the Christmas night of 2314 he appeared out of nowhere, but something has changed in him... Let's find out what!
Specimen_ED_04| Rakk 'n' Ruin| 80| 0| ED| 1669| 60| 335| 515| 335| 515| 42| 1:1:e;2:5:d;2p:15:d;1p:10:e| CAPTAINPEACE| | 1:ability_strengthen;2:ability_strengthen_plus| 25| 40| n;n;s| Arsenal| Trample| During several centuries Sentinels experimented on animals on the planet Munnyx in their wish of unbalance the war of galaxies. Feeling that their experiments were as impulsive as any other one they attempted before, they left the planet. Now a lot of intelligent but agressive animals like Rakk 'n' Ruin are looking for revenge.
Specimen_EE_04| Flying Jordson| 220| 20| EE| 1963| 60| 581| 874| 335:AOE| 501:AOE| 42| 1:1:e;2:5:e;1p:10:e;2p:15:e| LEGEND| EE_04x[A-F][A-F]_*+EE_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 20| 35| n;n;s| Free throw| Slam dunk| Flying Jordson is the greatest Space-ball player, with 214 direct deadly throws to his credit. Boom Shakalaka! He's on fire!
Specimen_EF_04| Mephisto| 135| 20| EF| 1329| 60| 268| 666| 268| 666| 42| 1:1:e;2:5:f;2p:15:f;1p:10:e| LEGEND| EF_04x[A-F][A-F]_*+EF_04x[A-F]_*| 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;n;s| Hell from Outer Space| Infernal seal| According to the legend, Mephisto is one of the Hell's princes. He has been part of Urban's army, built during his 5-years exile from the arena...
Specimen_FA_04| Banker| 200| 0| FA| 2635| 60| 728| 1092| 728| 1092| 210| 1:1:f;2:5:a;2p:15:a;1p:10:f| CAPTAINPEACE| | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Investment| Interest| After years of working on Wall Street, running fraudulent transactions and Ponzi schemes, Banker, chased by authorities, grabbed his money-filled safe and went into hiding in the arena. Here he’s scamming sponsors into paying him as much as 5 times the standard amount of credits. Want to get rich or die tryin’?
Specimen_FB_04| Wicked Witch| 240| 20| FB| 1763| 60| 556| 834| 556| 834| 42| 1:1:f;2:5:b;2p:15:b;1p:10:f| LEGEND| FB_04x[A-F][A-F]_*+FB_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Magic wand| Spectral crows| The stories were true, Witches exist! The worst of the witches as everyone knows is the Wicked Witch of the West who is leading her fellow wart infested flyers into battle. Be warned Psy Captains, it will take more than a house falling on her to stop this powerful hag.
Specimen_FC_04| Mexihcatl| 210| 0| FC| 2445| 60| 698| 1048| 698| 1048| 42| 1:1:f;2:5:c;2p:15:c;1p:10:f| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Tenochtitlan Sun| Macuahuitl \n| It is said that this famous Aztec warrior was once engaged to a princess, who died after being tricked into believing he was killed in battle. To honour her, he ordered a tomb to be build close to the sun. As years went by snow covered the grieving warrior and his beloved and they both transformed into volcanos. Meanwhile his ghost came to the arena to take vengeance on his opponents.
Specimen_FD_04| Buranka| 200| 20| FD| 1484| 60| 383:AOE| 575:AOE| 383:AOE| 575:AOE| 42| 1:1:f;2:5:d;2p:15:d;1p:10:f| LEGEND| FD_04x[A-F][A-F]_*+FD_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Electrocution| Flying spikes| Extreme jungle training Buranka went through makes this specimen unlike any other mutant currently competing. He was pushed to the limits in an Amazonia rain forest boot camp and was about to give up and go home to his mother, when a powerful thunder struck him, altering his body and mind. It gave him two devastating multi attacks. Now he’s going to utilize this unique advantage in the arena to become an unparalleled champion. \nBeware any Psy Captain who underestimate his Electrocution and Flying Spikes, as they will be left wondering what happened to their team!\n
Specimen_FE_04| Space Princess| 140| 20| FE| 1254| 60| 271| 407| 271| 407| 42| 1:1:f;2:5:e;2p:15:e;1p:10:f| LEGEND| FE_04x[A-F][A-F]_*+FE_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Justice of Love| Moon fragments| The Princess has travelled over from Neo Japan and is keen to use the Arena to test out her newly discovered skills. Don't be fooled by her looks, this Princess means business.
Specimen_FF_04| Monolith| 220| 20| FF| 2126| 60| 600| 805| 346:AOE| 518:AOE| 42| 1:1:f;2:5:f;1p:10:f;2p:15:f| LEGEND| FF_04x[A-F][A-F]_*+FF_04x[A-F]_*| 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Emeth, the truth| Meth, the death| Monolith is a golem magically animated from mythic rocks. Trained to watch and keep safe the mages of the arena against those who want to steal their secrets.
Specimen_A_04| No Name| 300| 0| A| 1824| 60| 684| 1026| 342:AOE| 513:AOE| 42| 1:1:a;2:5:neutre;1p:10:a;2p:15:neutre| SEASONAL| | 1:ability_shield;2:ability_shield_plus| 20| 30| n;n;s| | | no description
Specimen_B_04| Crow| 200| 0| B| 3531| 60| 865| 1299| 496:AOE| 746:AOE| 42| 1:1:b;2:5:neutre;1p:10:b;2p:15:neutre| SEASONAL| | 1:ability_regen;2:ability_regen_plus| 35| 50| n;n;s| Soul Breaker| Curse| He was born from the frights made by the kids to the adults on Halloween. It seems to be a very bad trick.
Specimen_C_04| No Name| 300| 0| C| 1824| 60| 684| 1026| 342:AOE| 513:AOE| 42| 1:1:c;2:5:neutre;1p:10:c;2p:15:neutre| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| | | no description
Specimen_D_04| No Name| 300| 0| D| 1824| 60| 684| 1026| 342:AOE| 513:AOE| 42| 1:1:d;2:5:neutre;1p:10:d;2p:15:neutre| SEASONAL| | 1:ability_slash;2:ability_slash_plus| -20| -30| n;n;s| | | no description
Specimen_E_04| No Name| 300| 0| E| 1824| 60| 684| 1026| 342:AOE| 513:AOE| 42| 1:1:e;2:5:neutre;1p:10:e;2p:15:neutre| SEASONAL| | 1:ability_strengthen;2:ability_strengthen_plus| 20| 30| n;n;s| | | no description
Specimen_F_04| Leprechaun| 190| 0| F| 3512| 60| 584:AOE| 877:AOE| 643:AOE| 965:AOE| 42| 1:1:f;2:5:neutre;1p:10:f;2p:15:neutre| SEASONAL| | 1:ability_weaken;2:ability_weaken_plus| -15| -25| n;n;s| Numismatic storm| Coins' barrels| A sweet story tells that if you follow a rainbow and arrive at its feet, you will find a wonderful barrel, full of gold. What the sweet story doesn't tell you is that this barrel doesn't come from nowhere! If you try to steal it that Leprechaun will try to kill you!
Specimen_AA_05| Thunderstruck| 170| 80| AA| 1875| 60| 741| 1116| 428:AOE| 641:AOE| 42| 1:1:a;2:5:a;1p:10:a;2p:15:a| PVP| AA_05x[A-F][A-F]_*+AA_05x[A-F]_*| 1:ability_shield;2:ability_shield_plus| 30| 50| n;n;s:20h| Auto-Robot| Air defence| Thunderstruck is the leader of a group of rebel robots who struggle for survival. Unfortunately, they are totally paranoid and think that all Cyber Mutants are Usurpicons, another race of giant robots which enslaved their planet. Since then, they wipe out the arenas, seeking revenge.
Specimen_AB_05| Neo-Urban XIII\n| 300| 0| AB| 2552| 60| 558| 1384| 558| 1384| 42| 1:1:a;2:5:b;2p:15:b;1p:10:a| GACHA| | 1:ability_strengthen;2:ability_strengthen_plus| 12| 33| n;n;s| Muto-gun| EV...V-VA!| The relationship between Eva and Urban has always been a mix of attraction and hatred. This creature illustrates exactly that. For years, Baron Urban has engaged in self-cloning experiments to create a perfect body for himself. The first clones died quickly, destroying parts of Urban's lab with their fury. The XIIIth was a failure too, but it survived. Its only motivation is to find Eva and absorb her. In the meantime, it destroys indistinctly every Mutant in its way.
Specimen_AC_05| Cyber Punk| 130| 20| AC| 1362| 60| 250| 375| 250| 375| 42| 1:1:a;2:5:c;2p:15:c;1p:10:a| LEGEND| AC_05x[A-F][A-F]_*+AC_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -60| n;n;s| Ares MP Laser| Cyber-limbs| Although they look very human, Cyber Punks were so pumped with Cybernetics that they have progressively lost all their humanity and sunk into madness.
Specimen_AD_05| Cyber Croc| 230| 20| AD| 1932| 60| 546| 821| 546| 821| 42| 1:1:a;2:5:d;2p:15:d;1p:10:a| LEGEND| AD_05x[A-F][A-F]_*+AD_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -50| n;n;s| Blood cold shot| Reptilian charge| Cyber Croc is what happens when we mix a crocodile and a killer machine. He represents the next step of evolution of his specie and he is determined to show his superiority.
Specimen_AE_05| CyberSlug| 200| 120| AE| 1877| 360| 423| 682| 423| 682| 42| 1:1:a;2:5:e;2p:15:e;1p:10:a| RECIPE| AB_02xBE_04+AE_01xFE_01| 1:ability_slash;2:ability_slash_plus| -30| -50| n;n;s:20h| Haymaker| Laser burn| The remarkable hybrid of a space slug and an Earth fish, this mutant's soft body has perfectly fused with its armour. It is surprisingly flexible, but also highly resistant. Don't be fooled by its allure - in spite of its clumsy, slimy appearance, this mutant's cybernetic enhancements make it a fearsome foe, both agile and devastating!
Specimen_AF_05| Abraham Lincoln| 300| 0| AF| 3424| 60| 1284| 1927| 1284| 1927| 42| 1:1:a;2:5:f;2p:15:f;1p:10:a| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Progress| XIIIth amendement| Time for your enemies to surrender! Abraham Lincoln joins George Washington in the arena and he is here to maintain the union. Some say that he has been revived thanks to the bullet that killed him...
Specimen_BA_05| Doctor Blaw| 250| 20| BA| 1834| 60| 542| 813| 542| 813| 42| 1:1:b;2:5:a;2p:15:a;1p:10:b| LEGEND| BA_05x[A-F][A-F]_*+BA_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 48| n;n;s| Toxic revenge| Necrostatic Bolt| This former doctor dedicated his life to his search for eternal life, working so hard that his research ultimately claimed his health. Sadly, he only discovered the secrets of life and genetics once he was old and crippled. Trapped inside his own body, his scholarly mind has turned into that of a necrotic madman, who seeks to destroy all that cross his path.
Specimen_BB_05| Soul Eater| 290| 20| BB| 2375| 60| 813| 1219| 468:AOE| 701:AOE| 42| 1:1:b;2:5:b;1p:10:b;2p:15:b| PVP| BB_05x[A-F][A-F]_*+BB_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 48| n;n;s| Putrid breath| Excarnation| He is born of the rotting corpses of soldiers fallen on the battlefields. Fuelled by their thirst for vengeance, he constantly seeks confrontation, and wields the souls that he has devoured as a lethal weapon.
Specimen_BC_05| Psycho Chainsawer| 220| 20| BC| 1727| 60| 465| 699| 465| 699| 42| 1:1:b;2:5:c;2p:15:c;1p:10:b| LEGEND| BC_05x[A-F][A-F]_*+BC_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 55| n;n;s| Nice to Meat ya| Hasta la vista| Psycho and serial killer in his lifetime, after his death he couldn't give up his raving madness. He stays on his feet despite his flesh's rotting and continues to look for victims to carve.
Specimen_BD_05| Bulldozer| 240| 20| BD| 1800| 120| 516| 774| 516| 774| 42| 1:1:b;2:5:d;2p:15:d;1p:10:b| LEGEND| BD_05x[A-F][A-F]_*+BD_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 55| n;n;s| Last Breath| Mess with a bull...| Former soldier, even after 1000 battles he has always refused to move up rank. All he wants is to be on the front line and smash his enemies. Mess with a bull you get the horns!
Specimen_BE_05| Nyrlatoth| 190| 20| BE| 1810| 60| 420| 631| 420| 631| 42| 1:1:b;2:5:e;2p:15:e;1p:10:b| LEGEND| BE_05x[A-F][A-F]_*+BE_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 55| n;n;s| Whip of soul| Pack of curse| Into the darkness, you will hear the "tic tic" of its legs hitting the ground. Don't let it grab you or it will eat your soul and rip your body apart for its own pleasure. May you never meet Nyrlatoth.
Specimen_BF_05| Britany| 300| 20| BF| 1952| 60| 585:AOE| 877:AOE| 585:AOE| 877:AOE| 42| 1:1:b;2:5:f;2p:15:f;1p:10:b| LEGEND| BF_05x[A-F][A-F]_*+BF_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 30| 48| n;n;s| French Manicure| To Wake the Dead| Even mutants deserve some romance and The Experiment couldn't be left alone! He thrills the arena's audience so much that the supervisors have decided to introduce for him Britany, a zombie girl completely made up for this special occasion! Watch out! Under the appearance of a frightened schoolgirl, she's one of the most destructive specimen, thanks to her overpowered spread attack, 50% more effective than usual spread attacks!
Specimen_CA_05| Challengeer| 150| 20| CA| 1297| 60| 295| 444| 295| 444| 42| 1:1:c;2:5:a;2p:15:a;1p:10:c| LEGEND| CA_05x[A-F][A-F]_*+CA_05x[A-F]_*| 1:ability_retaliate;2:ability_retaliate_plus| -15| -25| n;n;s| Katara| Ragna Rok Project| The Challengeers result from the Ragna Rok Project, an experiment involving the combination of soldiers in their death throes with metal bodies to create supermen. If most only died slower and in greater pain, the few surviving ones saw their potential multiplied by ten. Despite the obsolescence of this technology, they are formidable opponents.
Specimen_CB_05| Cupid| 200| 0| CB| 3472| 60| 926| 1432| 926| 1432| 42| 1:1:c;2:5:b;2p:15:b;1p:10:c| SEASONAL| | 1:ability_retaliate;2:ability_retaliate_plus| -15| -30| n;n;s| Love me tender| Love and kisses| They say no one has died of a broken heart. But that is not true for the victims of Cupid. Straight out of the horrors of lovers' nightmares, He is a mutant that spreads the joys of love in the arena: Love shaped like an arrow, aimed at your chest. Let his opponents beware - Love is in the air.\n\nSpecial thanks to the author of this description: Swiyth Glamhouste
Specimen_CC_05| Shin Hakuho| 270| 20| CC| 2309| 60| 744| 1115| 428:AOE| 643:AOE| 42| 1:1:c;2:5:c;1p:10:c;2p:15:c| PVP| CC_05x[A-F][A-F]_*+CC_05x[A-F]_*| 1:ability_regen;2:ability_regen_plus| 25| 38| n;n;s:20h| Oroshi Punch| Japanese Earthquake| One of the greatest female sumotori champions, Shin Hakuho has given up all her beliefs when her son has been kidnapped. Abandoning her art to devote herself to pure violence, she destroys all the mutants she meets, because she holds them responsible for the kidnapping of her only reason of living.
Specimen_CD_05| Hog the Ripper| 310| 0| CD| 4580| 120| 1633| 2549| 1633| 2549| 42| 1:1:c;2:5:d;2p:15:d;1p:10:c| CAPTAINPEACE| | 1:ability_retaliate;2:ability_retaliate_plus| -13| -20| n;n;s| Kebab Grinder| Filet Mignon| What a lovely idea to feed pigs that are intended to end up in the slaughterhouse with mutosterone and what is left over from the mutants that died in the arena. The results could not be worse: Hog the Ripper, 2 meters, 7 tons... and a killing bloody appetite!
Specimen_CE_05| Sun-Duke| 158| 0| CE| 1405| 60| 531| 996| 531| 996| 42| 1:1:c;2:5:e;2p:15:e;1p:10:c| GACHA| | 1:ability_weaken;2:ability_weaken_plus| -20| -30| n;n;s| Star kick| Solar Blast| Former galactic champion, Sun-Duke has traveled in space in order to revenge his mother and to protect the weak. After a tremendous battle against the Skrill, he has become a prisoner, forced to fight other Mutants in the arena.
Specimen_CF_05| Akuso Monk| 140| 20| CF| 1511| 60| 292| 438| 292| 438| 42| 1:1:c;2:5:f;2p:15:f;1p:10:c| LEGEND| CF_05x[A-F][A-F]_*+CF_05x[A-F]_*| 1:ability_slash;2:ability_slash_plus| -20| -40| n;n;s| Kung Fu| Mystic Impulse| Bred for battle, this warrior monk will annihilate any impure creatures that stand in his path. Don't waste time trying to reason with him
